full_text_comments,full_text_comments_preprocessed
"@msaid_didu abis jadi SJW jalanan, jadi provokator jihad https://t.co/3xwzI3tPXk",msaid_didu abis sjw jalanan provokator jihad
@msaid_didu Udah seperti ini siapa yang harus tanggung jawab masa @DivHumas_Polri @Divpropam hanya diam tidak bergerak melakukan tindakan tegas terhadap anggota polri   kalau @ListyoSigitP udah gak bisa diharapkan,msaid_didu tanggung divhumas_polri divpropam diam bergerak tindakan anggota polri listyosigitp diharapkan
@msaid_didu Mari rakyat bersatu kita lawan genk Jokowi dan China bangsattttttt....,msaid_didu rakyat bersatu lawan genk jokowi china bangsattttttt
"@msaid_didu Kl sakit kedokter sono, tindakan anarkisme didukung, grumpy old man",msaid_didu sakit kedokter sono tindakan anarkisme didukung grumpy old man
"@msaid_didu Sabar pak ada waktunya

Buktikan di 2029 kalau memang Bapak dan golongannya hebat",msaid_didu sabar buktikan golongannya hebat
"@msaid_didu Gambaran 
""Negeri Seribu Pulau"" ❌️
""Negeri Seribu Koruptor""✅️
FYI : Pak @prabowo",msaid_didu gambaran negeri seribu pulau negeri seribu koruptor fyi prabowo
@msaid_didu Ingat ada satu kata lawan🔥🔥,msaid_didu lawan
"@msaid_didu Bakar ajah ngga papa selagi kita menyuarakan kebenaran tapi tidak di dengarkan, buta hati tuli mata buta telinga",msaid_didu bakar ajah ngga papa menyuarakan kebenaran dengarkan buta hati tuli mata buta telinga
@msaid_didu Menyala BOM nya,msaid_didu menyala bom
@msaid_didu Jangan kasih kendor. Terus berjuang  dan berjihad membela NKRI dari penghianatan oligarki dan penguasa zholim. Jaga kedaulatan rakyat dari penjajahan cina!!!,msaid_didu kasih kendor berjuang berjihad membela nkri penghianatan oligarki penguasa zholim jaga kedaulatan rakyat penjajahan cina
@msaid_didu Bapak jangan menjadi provokator. Didiklah rakyat melalui jalur perlawanan yg benar. Apakah bapak masih ingat saat menggunakan ambulance untuk mengelabui polisi? Itu namanya licik pak.,msaid_didu provokator didiklah rakyat jalur perlawanan ambulance mengelabui polisi namanya licik
@msaid_didu Bersatu bareng partai demokrat  sby maksud lo? 🤣,msaid_didu bersatu bareng partai demokrat sby maksud
@msaid_didu kapan gerakan ketidak puasan ini terjadi secara global ??,msaid_didu gerakan ketidak puasan global
"@msaid_didu @DivHumas_Polri Pak, apakah ini termasuk provokator? Tolong di tindak Pak. Terima kasih",msaid_didu divhumas_polri provokator tindak terima kasih
@msaid_didu https://t.co/fvDzRmIHLE,msaid_didu
@msaid_didu https://t.co/cJ325o32v6,msaid_didu
@unmagnetism Dia maksudnya @POTUS ?,unmagnetism maksudnya potus
@unmagnetism maksudnya trump kan?,unmagnetism maksudnya trump
@unmagnetism Presiden menculik presiden,unmagnetism presiden menculik presiden
@unmagnetism Awas ntar dipecat lu un,unmagnetism awas ntar dipecat
@unmagnetism Lu pakai nuklir un bat backingan tar,unmagnetism pakai nuklir bat backingan tar
@unmagnetism Min ... nanti kamu di culik,unmagnetism min culik
@unmagnetism priiitttt pelanggaran min,unmagnetism priiitttt pelanggaran min
@unmagnetism cara mengkritik sekarang harus satir 🤣,unmagnetism mengkritik satir
"@unmagnetism di anu, apa si namanya",unmagnetism namanya
@unmagnetism duh jangan trlalu diinin mag,unmagnetism duh trlalu diinin mag
"@unmagnetism Waktu nyulik belum presiden, udh kepingin sih, tp belum",unmagnetism nyulik presiden udh kepingin
@unmagnetism weh anjir,unmagnetism weh anjir
"@unmagnetism Ayo ngumpul sini,masuk in jebakan Betmen..",unmagnetism ayo ngumpul masuk jebakan betmen
@unmagnetism Sebut saja sawitanto,unmagnetism sawitanto
@unmagnetism Minta tolong sama @realDonaldTrump un,unmagnetism realdonaldtrump
@unmagnetism kabarain keadaanmu terus ya un,unmagnetism kabarain keadaanmu
@unmagnetism Di polsek terdekat un,unmagnetism polsek terdekat
@unmagnetism Sebut saja SUbianto 98',unmagnetism subianto
@unmagnetism Bawa aja annies,unmagnetism bawa annies
@unmagnetism https://t.co/7mnOebNExL,unmagnetism
@unmagnetism https://t.co/nDpAx2EpZ6,unmagnetism
@unmagnetism Kang somay lewat,unmagnetism kang somay
@unmagnetism Coba ke polsek terdekat Um...,unmagnetism coba polsek terdekat
@unmagnetism TRUMP KAN UN MKSDNY 😘,unmagnetism trump mksdny
@unmagnetism waduhhhh dikirim ayam bakar un,unmagnetism waduhhhh dikirim ayam bakar
@unmagnetism M-MANGSUT?????,unmagnetism mangsut
@unmagnetism Si bowo un,unmagnetism bowo
@unmagnetism https://t.co/B0oQWzlbmU,unmagnetism
@unmagnetism Spil,unmagnetism spil
"@unmagnetism Diem un, ntar lu ilang",unmagnetism diem ntar ilang
@unmagnetism Bisa aje lu un,unmagnetism aje
@unmagnetism pffffff,unmagnetism pffffff
@unmagnetism Un dicari kang bakso,unmagnetism dicari kang bakso
@unmagnetism DEMN,unmagnetism demn
@unmagnetism https://t.co/qQAxMHclYS,unmagnetism
@unmagnetism Offside!!! https://t.co/R7eWY0xfzs,unmagnetism offside
@unmagnetism Adalah pokoknya,unmagnetism pokoknya
@unmagnetism 🤣🤣,unmagnetism
@unmagnetism deym pelan pelan un,unmagnetism deym pelan pelan
@unmagnetism Eh...,unmagnetism
@unmagnetism ninuninuninu,unmagnetism ninuninuninu
@unmagnetism Mancing2 ya un.,unmagnetism mancing
@unmagnetism un diem un,unmagnetism diem
@unmagnetism UDDDAAAAAHHHHH 😭🫸🏻🫸🏻🫸🏻,unmagnetism udddaaaaahhhhh
@unmagnetism Ngerii🤣,unmagnetism ngerii
@unmagnetism adalah pokoknya un,unmagnetism pokoknya
@unmagnetism Un...,unmagnetism
@unmagnetism Donal bebek un,unmagnetism donal bebek
@unmagnetism WKWKKWKWWKWKKW,unmagnetism wkwkkwkwwkwkkw
@unmagnetism Bgst,unmagnetism bgst
@unmagnetism 🤣🤣🤣,unmagnetism
@unmagnetism priiiittt offisideee,unmagnetism priiiittt offisideee
"@unmagnetism Hah, hu hah",unmagnetism hah hah
@unmagnetism Un... https://t.co/gLQ4xCIBlb,unmagnetism
@unmagnetism Terlalu bahaya mas KUHP pidana terbaru sudah berlaku😹😇,unmagnetism bahaya mas kuhp pidana terbaru berlaku
@unmagnetism menurut keyakinan siapa nichh,unmagnetism keyakinan nichh
@unmagnetism Eh gimana tadi🫸😭🫷,unmagnetism gimana
@unmagnetism Main kan UN.,unmagnetism main
@unmagnetism Siapa,unmagnetism
@unmagnetism Hehe,unmagnetism hehe
@unmagnetism Masih aman un?,unmagnetism aman
@unmagnetism Gelap,unmagnetism gelap
@unmagnetism asw😭,unmagnetism asw
@unmagnetism ehhhh🤭,unmagnetism ehhhh
@unmagnetism PRITTTT AWAS😶,unmagnetism pritttt awas
@unmagnetism un 👍semakin menyala,unmagnetism menyala
@unmagnetism Siapa tuhh? Kasih tau donk un,unmagnetism tuhh kasih donk
@unmagnetism Internetnya masih pakai amerika tapi anti AS . ini konyol sama saja.,unmagnetism internetnya pakai amerika anti konyol
@unmagnetism https://t.co/CYT8Luc7xx,unmagnetism
@unmagnetism Lu udh tau blum klau ada Ijazah Palsu?,unmagnetism udh blum klau ijazah palsu
@unmagnetism emang presiden yang menculik siapa aja un ?,unmagnetism emang presiden menculik
@unmagnetism Hayo siapa yang tau,unmagnetism hayo
"@anvie Semua negara mestinyavharus ada rudal nuklir...justru itu bisa menjaga dunia aman. Karna tidak ada yang berani gertak ancam negara lain. Karna sama"" punya taring, dsn bisa sama jadi abu.",anvie negara mestinyavharus rudal nuklir menjaga dunia aman karna berani gertak ancam negara karna taring dsn abu
@anvie https://t.co/qXAGpFYpmR,anvie
@anvie @grok buat dia botak,anvie grok botak
"@anvie Kita menjajaki teknologi nuklir pada akhir 1950-an,  awalnya tak tertarik utk membuat senjata tp berubah sejak test bom atom Miss Qiu di Xinjiang 16 oktober ‘64. Brigjend Hartono menyatakan kemungkinan Indonesia punya bom atom sendiri. Rest of the story kita tahu apa yg terjadi.",anvie menjajaki teknologi nuklir tertarik utk senjata berubah test bom atom miss qiu xinjiang oktober brigjend hartono indonesia bom atom rest the story
@anvie Yg blg org gila itu kemakan propaganda berita mamarika,anvie blg org gila kemakan propaganda berita mamarika
"@anvie Punya senjata nuklir adalah garansi keamanan dan kedaulatan suatu negara, cuma itu. ☢️",anvie senjata nuklir garansi keamanan kedaulatan negara
"@anvie Sebenernya udah lama sih tapi dari waktu ke waktu cuma diingetin aja...
Walaupun rusia ama china ga bner2 bersih, kalo disuruh memihak (dan nanti bakal tiba juga waktunya memihak kalau terjadi perang, ini pasti), ya mending mihak sosialis.. toh perang jg butuh biaya dan resource",anvie sebenernya diingetin rusia ama china bner bersih disuruh perang mending mihak sosialis perang butuh biaya resource
@anvie Negara mewah tampa sumber nuklir hanya tinggal menunggu waktu untk dijajah? Untuk negara kita miskin..,anvie negara mewah tampa sumber nuklir tinggal menunggu untk dijajah negara miskin
"@anvie Ameriki pernah bengong ketika japun menggunakan pasukan bunuh dirinya ketika sdh terdesak, dimana itu tidak umum utk Barat dan sekutunya.",anvie ameriki bengong japun pasukan bunuh sdh terdesak utk barat sekutunya
"@anvie To: yth bpk trump , tolong jajah konoha dong, wni udah males dijajah goverment ...😭",anvie yth bpk trump jajah konoha wni males dijajah goverment
"@anvie Dikonoha gak perlu diserang,tinggal suap pejabat nya, tanah air laut udara bakal diserahkan cuma2..",anvie dikonoha diserang tinggal suap pejabat tanah air laut udara diserahkan
"@anvie CONTOH RUSSIA AJA, HANCUR NEGARA MREKA, 1/4 BUMI JUGA JAMINANNYA HANCUR WKWK",anvie contoh russia hancur negara mreka bumi jaminannya hancur wkwk
"@anvie Untuk yang kuat, peraturan gak berlaku",anvie kuat peraturan berlaku
@anvie Amrik lewat tangan Israel berani serang Iran.,anvie amrik tangan israel berani serang iran
@anvie konoha dah lama melacurkan gunung2emas dan tanah2 suburnya ke amrik,anvie konoha dah melacurkan gunungemas tanah suburnya amrik
@anvie Amerika dari dijajah menjadi Penjajah.,anvie amerika dijajah penjajah
"@anvie Ditambah Seoul deket banget dari DMZ. Salah langkah sedikit aja, babay Seoul",anvie ditambah seoul deket dmz salah langkah babay seoul
@anvie @grok put him in a bikini,anvie grok put him bikini
@anvie Bukan hny dijajah tapi direbut,anvie hny dijajah direbut
@anvie Dan biang penjajah adalah =  🇺🇸,anvie biang penjajah
@anvie sekarang masuk akal,anvie masuk akal
@anvie camkan itu @Puspen_TNI,anvie camkan puspen_tni
@anvie USA kan emang preman dunia,anvie usa emang preman dunia
@anvie wowo masih blm sadar dengan ini sumber alam dimasa depan penting banget nanti,anvie wowo blm sadar sumber alam dimasa
@anvie Trmasuk di indon sudah di jajah Melalui Perang tarif indonesia bertekuk lutut tanpa perlawanan LOL,anvie trmasuk indon jajah perang tarif indonesia bertekuk lutut perlawanan lol
@anvie True,anvie true
@anvie 🇰🇵🇰🇵🇰🇵🇰🇵😍😍😍,anvie
"@anvie ""Who's laughing now?"" Comrade Kim",anvie who laughing now comrade kim
@anvie GOAT,anvie goat
@anvie Tp krn nuklir nya negara nya jadi miskin.. di atas kertas kaya SDA tp realita nya korut miskin krn byk sanksi,anvie krn nuklir negara miskin kertas kaya sda realita korut miskin krn byk sanksi
"@anvie Bang Kim Jong Un, tolong dong ambil wargamu satu ini, dia mengidolakanmu 😜🤡🤪😂🤣",anvie bang kim jong ambil wargamu mengidolakanmu
@anvie @ilhampurnama887 Berpengalaman selama 75 tahun,anvie ilhampurnama berpengalaman
"@anvie Kalo cadangan minyak indonesia sebanyak timur tengah udh pasti diinvasi jga dari jaman soeharto, alih2 penegakan hukum dari pelanggaran HAM berat oleh seorang diktator",anvie cadangan minyak indonesia timur udh diinvasi jga jaman soeharto alih penegakan hukum pelanggaran ham berat diktator
@anvie Bener,anvie bener
@anvie The real ASING DAN ANTEK2NYA 😂 itu nyata,anvie the real asing anteknya nyata
@anvie Next indonesia,anvie next indonesia
@dina_sulaeman 👍👍👍👏,dina_sulaeman
"@dina_sulaeman Bu, PM Israel Baby tdk pernah kirim ribuan napi kriminal dari penjara venezuella ke AS lakukan aksi teror, narkoba. Maduro itu otoriter, komunis, kriminal yg dibenci rakyatnya sendiri.",dina_sulaeman israel baby tdk kirim ribuan napi kriminal penjara venezuella lakukan aksi teror narkoba maduro otoriter komunis kriminal dibenci rakyatnya
@dina_sulaeman Ai kuwi 🤣🤣,dina_sulaeman kuwi
@dina_sulaeman Emang muslim tuh pada OGEB².. Video hoax pun dipercaya.. 😅😂🤣,dina_sulaeman emang muslim tuh ogeb video hoax dipercaya
@dina_sulaeman stupid question 🤤,dina_sulaeman stupid question
"@dina_sulaeman Justice..?

🦅 https://t.co/p857hqydC7",dina_sulaeman justice
"@dina_sulaeman Pertanyaanmu itu sama seperti ""kalo gereja hagia sofia saja bisa jadi masjid, kenapa tidak dengan al aqsa jadi sinagog"". Harusnya logika bodohmu itu disinkronkan dulu.",dina_sulaeman pertanyaanmu gereja hagia sofia masjid aqsa sinagog logika bodohmu disinkronkan
"@dina_sulaeman ya silahkan ajah, kan agak ada yg melarang. masalahnya siapa yg mau dan siapa yg bisa? omon doang",dina_sulaeman silahkan ajah melarang omon doang
@dina_sulaeman Emang ada yg mampu?. 🤭 🤣,dina_sulaeman emang
@dina_sulaeman Mengapa Dina memposting video hoax? Selevel akademisi kok begini banget? Memalukan dan menjijikkan. Hoi malu hoi....!!!,dina_sulaeman dina memposting video hoax selevel akademisi memalukan menjijikkan hoi malu hoi
"@dina_sulaeman Beberapa waktu lalu Netanyahu ke New York tapi tetap saja nggak ditangkap sama Si @ZohranKMamdani 

Cuma omon-omon saja memang 🤭",dina_sulaeman netanyahu new york ditangkap zohrankmamdani omon omon
@dina_sulaeman that kolonial ally new world order for humanity abusing doctrine systerm,dina_sulaeman that kolonial ally new world order for humanity abusing doctrine systerm
"@dina_sulaeman As oprasi di Venez....

As BISA membawa isrl ke MHKMH INTRSL...

AS BUKAN UTUSAN MHKMH INTRNSL

((( premis amis )))

masih bingung
Ke kaper apa komunce https://t.co/KvVYIU2kWw",dina_sulaeman oprasi venez membawa isrl mhkmh intrsl utusan mhkmh intrnsl premis amis bingung kaper komunce
"@dina_sulaeman Kalau Gue Presiden , Gue kirim Pasukan Komando untuk Culik Trump &amp; Netanyahu , gue jeblosin ke kandang Singa dan Buaya .",dina_sulaeman presiden kirim pasukan komando culik trump amp netanyahu jeblosin kandang singa buaya
@dina_sulaeman Owloh lu aja ga mampu melindungi umatnya dari Israel… udah ga usah ngimpi kelamaan 🤣,dina_sulaeman owloh melindungi umatnya israel ngimpi
@dina_sulaeman So much hate for israel 🤣 https://t.co/zXIIvzR1wq,dina_sulaeman much hate for israel
@dina_sulaeman fans hamas pada ngamuk🤣🤣🤣🤣 https://t.co/5aV4sNXKU7,dina_sulaeman fans hamas ngamuk
@kozirama mulyono yg tolol aja menlu nya gacor. lah ini dapetnya apaan kocak 😭😭😭,kozirama mulyono tolol menlu gacor dapetnya kocak
@kozirama Lihat aja nasib para diplomatnya,kozirama lihat nasib diplomatnya
@kozirama Kayanya adminnya malu sendiri mau ngepost ini,kozirama kayanya adminnya malu ngepost
@kozirama Kemenlu rasa pak Camat.. Ya baru ini,kozirama kemenlu camat
"@kozirama malah kepikiran jadi pns gonta ganto boss rasanya ape ye, mana gantinya kaga pake standard kompentensi",kozirama kepikiran pns gonta ganto boss ape gantinya kaga pake standard kompentensi
"@kozirama Ga berpengalaman, ga kerja bener",kozirama berpengalaman kerja bener
@kozirama Cerminan penerintah/kabinet RI saat ini. KUCEL.,kozirama cerminan penerintah kabinet kucel
"@kozirama Dan biasanya diplomat kemlu tuh orang orang elit profesional 

Skrg malah dipaksa kerja dibawah politisi",kozirama diplomat kemlu tuh elit profesional skrg dipaksa kerja dibawah politisi
@kozirama Diplomatnya berasa dikencingin dimuka,kozirama diplomatnya berasa dikencingin dimuka
@kozirama apa yg diharapkan dari politisi hasil groomingan prabsky.,kozirama diharapkan politisi hasil groomingan prabsky
@kozirama Wkwkwkwk...welcome to the club 😌🙏🏻,kozirama wkwkwkwk welcome the club
@kozirama Katanya Kementerian Halu,kozirama kementerian halu
@kozirama *udah ga elit lg kemlu 😂,kozirama elit kemlu
@kozirama Good luck temen2 terbaik,kozirama good luck temen terbaik
@kozirama Keliatan bego memang,kozirama keliatan bego
@kozirama kinerjanya??? KOSONG!!!!!!,kozirama kinerjanya kosong
@kozirama Kakek sugiono,kozirama kakek sugiono
@kozirama 🙂,kozirama
@kozirama Tukang cebok bossnya..  Balas budi...,kozirama tukang cebok bossnya balas budi
@kozirama Gada auranya,kozirama gada auranya
@kozirama 😥,kozirama
"@kozirama Sama aja, di seluruh dunia jg gitu. Bagusin kemen LN butuh biaya gede....fokus ke dalam negri aja....",kozirama dunia bagusin kemen butuh biaya gede fokus negri
@kozirama Bro child,kozirama child
@kozirama Kakek sugiono?,kozirama kakek sugiono
@kozirama Bocil dikasih jabatan,kozirama bocil dikasih jabatan
@kozirama Kinerja Kemlu yang sekarang justru lbh bagus drpd sebelumnya.,kozirama kinerja kemlu lbh bagus drpd
"@kozirama Retno mmg buat apa selama 1 dekade jd Menlu? 

Henley index pasport? Neraca dagang positif? Ban lIfting? Open skies? 

Diplomat klasik yg bergaya Nuncio macam Retno ga akn ksh breakthrough

Dibawah Sugiono @Menlu_RI, ID masuk BRICS , main2 kaki cakep diantara US &amp; RU, poros China",kozirama retno mmg dekade menlu henley index pasport neraca dagang positif ban lifting open skies diplomat klasik bergaya nuncio retno akn ksh breakthrough dibawah sugiono menlu_ri masuk brics main kaki cakep amp poros china
@kozirama Aslina demot,kozirama aslina demot
@kozirama He he he,kozirama
@dinopattidjalal @Kemlu_RI @Menlu_RI Saya heran kok Pak Dino masih heran?,dinopattidjalal kemlu_ri menlu_ri heran dino heran
@dinopattidjalal @Kemlu_RI @Menlu_RI Model begini Indonesia mau jadi ketua Dewan HAM PBB Makan tuh hamburger,dinopattidjalal kemlu_ri menlu_ri model indonesia ketua dewan ham pbb makan tuh hamburger
@dinopattidjalal @Kemlu_RI @Menlu_RI Model begini Indonesia mau jadi ketua Dewan HAM PBB Makan tuh hamburger,dinopattidjalal kemlu_ri menlu_ri model indonesia ketua dewan ham pbb makan tuh hamburger
@dinopattidjalal @Kemlu_RI @Menlu_RI Saya pikir sudah rahasia umum bahwa pemerintah Indonesia memang beraninya sama rakyatnya sendiri.,dinopattidjalal kemlu_ri menlu_ri pikir rahasia pemerintah indonesia beraninya rakyatnya
@dinopattidjalal @Kemlu_RI @Menlu_RI Setelah kita punya Bu Retno Pak Marty Pak Hassan Pak Alwi Pak Ali sekarang malah punya Menlu sekelas pesuruh partai...,dinopattidjalal kemlu_ri menlu_ri retno marty hassan alwi ali menlu sekelas pesuruh partai
@dinopattidjalal @Kemlu_RI @Menlu_RI Sikat aja Pak Dino Telanjangi dan kuliti semua inkompetensi kebijakan luar negeri memalukan Pak Prabowo dan anak titipan nya ini si Sugiono https://t.co/q9ZB21R5DX,dinopattidjalal kemlu_ri menlu_ri sikat dino telanjangi kuliti inkompetensi kebijakan negeri memalukan prabowo anak titipan sugiono
@dinopattidjalal @Kemlu_RI @Menlu_RI Lah perasaan pak menlu sugiono udah bersuara deh kemaren. https://t.co/yBBYQAEzWn,dinopattidjalal kemlu_ri menlu_ri perasaan menlu sugiono bersuara kemaren
@dinopattidjalal @Kemlu_RI @Menlu_RI Jangan2 pak @prabowo blum tahu berita ttg penangkapan Presiden Maduro oleh USA ini ya? Soalnya kok saya blum dengar bliau berkomentar soal ini .,dinopattidjalal kemlu_ri menlu_ri prabowo blum berita ttg penangkapan presiden maduro usa blum dengar bliau berkomentar
@dinopattidjalal @Kemlu_RI @Menlu_RI Jangan2 pak @prabowo blum tahu berita ttg penangkapan Presiden Maduro oleh USA ini ya? Soalnya kok saya blum dengar bliau berkomentar soal ini .,dinopattidjalal kemlu_ri menlu_ri prabowo blum berita ttg penangkapan presiden maduro usa blum dengar bliau berkomentar
@dinopattidjalal @Kemlu_RI @Menlu_RI Apa yg anda harapkan dari pemerintah yg sudah memberikan 0% pajak dan memberikan akses penuh terhadap kekayaan mineral tembaga Indonesia kpd Trump ? https://t.co/jgGi8VFk7F,dinopattidjalal kemlu_ri menlu_ri harapkan pemerintah pajak akses penuh kekayaan mineral tembaga indonesia kpd trump
@dinopattidjalal @Kemlu_RI @Menlu_RI Kami juga se Kecamatan heran..! https://t.co/4uXKVQUHBM,dinopattidjalal kemlu_ri menlu_ri kecamatan heran
@dwi_brom @dinopattidjalal @Kemlu_RI @Menlu_RI @prabowo Hpnya di-setting mode kids jadi yang keluar cuma pororo,dwi_brom dinopattidjalal kemlu_ri menlu_ri prabowo hpnya setting mode kids pororo
@dinopattidjalal @Kemlu_RI @Menlu_RI https://t.co/4s2WbQp8ty,dinopattidjalal kemlu_ri menlu_ri
@dinopattidjalal @InFebriyan128 @Kemlu_RI @Menlu_RI Mau bersuara keras pada Amerika? Mau berharap apa dari presiden dgn mental spt ini? https://t.co/cPjEnIeihb,dinopattidjalal infebriyan kemlu_ri menlu_ri bersuara keras amerika berharap presiden dgn mental spt
@dinopattidjalal @Kemlu_RI @Menlu_RI Sama perang tarif aja pemerintah Kita takut pak apalagi sampai berani keras seperti Maduro ke AS; mana mungkin.,dinopattidjalal kemlu_ri menlu_ri perang tarif pemerintah takut berani keras maduro
@dinopattidjalal @Kemlu_RI @Menlu_RI Pak Menlu lagi ngurusin Pilkada.. mungkin nanti Menteri pertanian yg bakal menyampaikan sikap Indonesia soal serangan USA ke Venezuela,dinopattidjalal kemlu_ri menlu_ri menlu ngurusin pilkada menteri pertanian sikap indonesia serangan usa venezuela
@dinopattidjalal @Kemlu_RI @Menlu_RI Apa yang kita harapkan dari kemenlu yang dipimpin bukan oleh Diplomat karir yg banyak mengenyam asam garam dan ditempa pengalaman di dunia diplomasi internasional https://t.co/TCh76woZMJ,dinopattidjalal kemlu_ri menlu_ri harapkan kemenlu dipimpin diplomat karir mengenyam asam garam ditempa pengalaman dunia diplomasi internasional
@dinopattidjalal @Kemlu_RI @Menlu_RI Apa yang kita harapkan dari kemenlu yang dipimpin bukan oleh Diplomat karir yg banyak mengenyam asam garam dan ditempa pengalaman di dunia diplomasi internasional https://t.co/TCh76woZMJ,dinopattidjalal kemlu_ri menlu_ri harapkan kemenlu dipimpin diplomat karir mengenyam asam garam ditempa pengalaman dunia diplomasi internasional
@dinopattidjalal @Kemlu_RI @Menlu_RI pak saya sebagai warga sipil dan ga pernah mencelupkan diri ke dunia pemerintahan jujur nyerah sih pak. kayak capek selahirbatinduniaakhirat sama pejabat2 indonesia sekarang. udah di titik malas kritik. cuman bisa retweet dan share yang urgent aja.,dinopattidjalal kemlu_ri menlu_ri warga sipil mencelupkan dunia pemerintahan jujur nyerah kayak capek selahirbatinduniaakhirat pejabat indonesia titik malas kritik cuman retweet share urgent
@dinopattidjalal @Kemlu_RI @Menlu_RI Presidennya si pangkatnya jendral kalau pidato uuhhh sangat berapi-api kalau soal antek asing sambil gebrak-gebrak meja. Ga taunya ga lebih kaya ayam sayur.,dinopattidjalal kemlu_ri menlu_ri presidennya pangkatnya jendral pidato uuhhh berapi api antek asing gebrak gebrak meja taunya kaya ayam sayur
@dinopattidjalal @vaniepink @Kemlu_RI @Menlu_RI Krn Menlu RI saat ini tdk punya kompetensi dia hanya pajangan formalitas presiden.,dinopattidjalal vaniepink kemlu_ri menlu_ri krn menlu tdk kompetensi pajangan formalitas presiden
@dinopattidjalal @vaniepink @Kemlu_RI @Menlu_RI Krn Menlu RI saat ini tdk punya kompetensi dia hanya pajangan formalitas presiden.,dinopattidjalal vaniepink kemlu_ri menlu_ri krn menlu tdk kompetensi pajangan formalitas presiden
@dwi_brom @dinopattidjalal @Kemlu_RI @Menlu_RI @prabowo Masih tahun 2021 di kalender beliau,dwi_brom dinopattidjalal kemlu_ri menlu_ri prabowo kalender beliau
@DrRizalSukma @dinopattidjalal @Kemlu_RI @Menlu_RI Kami tidak heran pada kebijakan menlu yg mengherankan karena memang tak perlu diherankan lagi. Keheranan hanya ada pada dipilihnya dia sebagai menlu terheran di negeri penuh pengheranan https://t.co/Pvh5CRw177,drrizalsukma dinopattidjalal kemlu_ri menlu_ri heran kebijakan menlu mengherankan diherankan keheranan dipilihnya menlu terheran negeri penuh pengheranan
@dinopattidjalal @Kemlu_RI @Menlu_RI Karena beliau memahami bahwa kalau tidak mampu dan menguasai suatu bidang lebih baik diam pak ,dinopattidjalal kemlu_ri menlu_ri beliau memahami menguasai bidang diam
@DrRizalSukma @dinopattidjalal @Kemlu_RI @Menlu_RI Dikomen gini sama dubes... malu sih gue,drrizalsukma dinopattidjalal kemlu_ri menlu_ri dikomen gini dubes malu
@bakwanlover @dinopattidjalal @Kemlu_RI @Menlu_RI Ajaib Menlu kok bahas Pilkada bukannya itu bagiannya Mendagri??,bakwanlover dinopattidjalal kemlu_ri menlu_ri ajaib menlu bahas pilkada bagiannya mendagri
@dinopattidjalal @Kemlu_RI @Menlu_RI Menlu RI sedang sibuk akomodir pilkada oleh DPRD Jangan diganggu pak.,dinopattidjalal kemlu_ri menlu_ri menlu sibuk akomodir pilkada dprd diganggu
@dinopattidjalal @Kemlu_RI @Menlu_RI Kalau pak Menlu Sugiono slow response kalau masalah begini Kalau wacana presiden dipilih langsung oleh DPR baru beliau memberikan tanggapan ,dinopattidjalal kemlu_ri menlu_ri menlu sugiono slow response wacana presiden dipilih langsung dpr beliau tanggapan
@dwi_brom @dinopattidjalal @Kemlu_RI @Menlu_RI @prabowo Jauh kalah gercep ma PM malaysia yg sat set,dwi_brom dinopattidjalal kemlu_ri menlu_ri prabowo kalah gercep malaysia sat set
@DrRizalSukma @fernandesu00 @dinopattidjalal @Kemlu_RI @Menlu_RI Ini eranya heran. Sebelumnya era kaget.,drrizalsukma fernandesu dinopattidjalal kemlu_ri menlu_ri eranya heran era kaget
@dinopattidjalal @Kemlu_RI @Menlu_RI Pak Menlu fokus mendukung Pilkada dipilih langsung oleh DPRD,dinopattidjalal kemlu_ri menlu_ri menlu fokus mendukung pilkada dipilih langsung dprd
@DrRizalSukma @dinopattidjalal @Kemlu_RI @Menlu_RI Heran masih minyak aja jadi penyebabnya Tweet https://t.co/XbHrZEP8rF,drrizalsukma dinopattidjalal kemlu_ri menlu_ri heran minyak penyebabnya tweet
@dinopattidjalal @Kemlu_RI @Menlu_RI Takut nanti tidak dibagi kue https://t.co/eSsg3LWxYc,dinopattidjalal kemlu_ri menlu_ri takut dibagi kue
@dinopattidjalal @Kemlu_RI @Menlu_RI Sabar Pak sebentar lagi ada pidato Presiden Kita ini bangsa besar jangan sampai dipecah belah oleh antek antek asing. Saya siap berkorban siap mati untuk rakyat ,dinopattidjalal kemlu_ri menlu_ri sabar sebentar pidato presiden bangsa dipecah belah antek antek asing berkorban mati rakyat
@dinopattidjalal @Kemlu_RI @Menlu_RI Sabar Pak sebentar lagi ada pidato Presiden Kita ini bangsa besar jangan sampai dipecah belah oleh antek antek asing. Saya siap berkorban siap mati untuk rakyat ,dinopattidjalal kemlu_ri menlu_ri sabar sebentar pidato presiden bangsa dipecah belah antek antek asing berkorban mati rakyat
@emerson_yuntho @dinopattidjalal @Kemlu_RI @Menlu_RI Intinya mbg solusinya,emerson_yuntho dinopattidjalal kemlu_ri menlu_ri intinya mbg solusinya
@dinopattidjalal @Kemlu_RI @Menlu_RI Pak kualitas orang di kemenhan saja diragukan dengan masuknya artis sebagai bagian dari mereka. Kebayangkan integritas mereka spt apa. Yakin mereka bisa melindungi negara dan menjaga rahasia negara? Makanya Kemenlu ga mau ambil resiko.,dinopattidjalal kemlu_ri menlu_ri kualitas kemenhan diragukan masuknya artis kebayangkan integritas spt melindungi negara menjaga rahasia negara kemenlu ambil resiko
