full_text_comments,full_text_comments_preprocessed
@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,arsipaja pergi settingan kondisi asli
@ARSIPAJA @kompascom udah jadi penyepong biji satu,arsipaja kompascom penyepong biji
@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,arsipaja amankan tautannya artefak bersejarah wkwk
. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,speedymorman doesn chase viral moments creates them calm precise and surgical makes space for honesty era allergic nuance whether sitting with rappers whatever career kim currently pursuing brings the same patience and the confidence
@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,arsipaja kaitannya jurnalis kompas disuruh hapus liputan bencana kemarin wkwk narasi jilat total maju koprol bareng gelondongan kayu
@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,arsipaja membaca dibaca artikelnya
@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,arsipaja kualitas jurnalisnya aturan mainnya emang hrs bagus
@ARSIPAJA @kompascom @KompasTV penyepong penguasa,arsipaja kompascom kompastv penyepong penguasa
@ARSIPAJA hmm https://t.co/M0sXxjEAYO,arsipaja hmm
@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,arsipaja kemaren sekilas headline berita bilang reporter komps dipaksa hapus bukti foto video ttg kerusakan bencana aceh wkwkwk
@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,arsipaja haha kompas heran berani spill perusahaan pembabatan hutan penyebab hutan rusak jamin berani
@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,arsipaja baca poin poin poin penangkapan pelaku pembalakan liar terlibat tanggung
@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,arsipaja bare minimum presiden turun drastis
@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,arsipaja kayak kunjungan daerah dunia ketiga penug parade kasihan warga
@ARSIPAJA Orang2 kayak gini dikasih platform taikk,arsipaja kayak gini dikasih platform taikk
@ARSIPAJA Buset,arsipaja buset
@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,arsipaja jaya suprana sandro gatra the money really that good
@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,arsipaja ketahuan dosen jurnalistik diomelin abis abisan
@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,arsipaja negara feodal kritik dianggap kebencian sungkem sujud nurut diutamakan
@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,arsipaja benci kebijakan kinerjanya orangnya
@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,arsipaja posisi terdesak untung perpanjang langganan kompascom
@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,arsipaja tulisannya kelirumologi buzzer penguasa
@ARSIPAJA apaan banget script nya???,arsipaja script
@ARSIPAJA Tim redaksinya diancam kah? Artikel kaya gini lolos.,arsipaja tim redaksinya diancam artikel kaya gini lolos
@ARSIPAJA maaf juga ye penulis gue kaga percaya ,arsipaja maaf penulis kaga percaya
@ARSIPAJA Loh kirain kompasiana.,arsipaja kirain kompasiana
@ARSIPAJA Kompas jadi Kompos setidaknya kompos bermanfaat lah ini ,arsipaja kompas kompos kompos bermanfaat
@ARSIPAJA Gw masih mikir dr td.. poinnya kalimat itu apa?,arsipaja mikir poinnya kalimat
@ARSIPAJA Astagaaa berita macam apa itu @kompascom ?,arsipaja astagaaa berita kompascom
@ARSIPAJA Beneran ini kompas bikin narasi berita kayak gini?,arsipaja beneran kompas bikin narasi berita kayak gini
@ARSIPAJA Alasan kenapa ga langganan kompas,arsipaja alasan langganan kompas
@ARSIPAJA mohon pake bold,arsipaja mohon pake bold
@ARSIPAJA ini apaan jancok bisa nulis ga sih,arsipaja jancok nulis
@ARSIPAJA Ya Allah takbirrrr Beneran ada jurnalis kek gini?? Terang2an mihak?? Perasaan gua dl diajarin ga begini deh,arsipaja allah takbirrrr beneran jurnalis kek gini terangan mihak perasaan diajarin
@ARSIPAJA Sekelas kompas bahasanya kek buzerp,arsipaja sekelas kompas bahasanya kek buzerp
