conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000392181165732e+18,@susipudjiastuti @prabowo Setuju banget ibu!!! Saya berharap tokoh2 masyarakat cendekiawan dan orang berpengaruh satu suara atas isu kritis ini spt bu Susi..,susipudjiastuti prabowo setuju berharap tokoh masyarakat cendekiawan berpengaruh suara isu kritis spt susi
2.000392181165732e+18,@susipudjiastuti @prabowo Negara isinya adalah rakyat tapi disini rakyat mana yang diuntungkan? Benar kata Ibu sudah tidak relevan memilah yang legal dan ilegal. Bencana korban kerusakan sudah terpampang di depan mata. Entahlah Pak @prabowo mau apalagi yang dipertimbangkan.,susipudjiastuti prabowo negara isinya rakyat rakyat diuntungkan tidak relevan memilah legal ilegal bencana korban kerusakan terpampang mata prabowo dipertimbangkan
2.000392181165732e+18,@susipudjiastuti @prabowo Itulah kalau pengusaha jadi penguasa. Gak Salah sih tapi batas conflict of interest nya setipis rambut,susipudjiastuti prabowo pengusaha penguasa gak salah batas conflict interest setipis rambut
2.000392181165732e+18,@susipudjiastuti @prabowo Ngapain ngetag dia bu dia cuma bisa omon2 memble kaya macan ompong,susipudjiastuti prabowo ngapain ngetag omon memble kaya macan ompong
2.000392181165732e+18,@susipudjiastuti @prabowo Seperti susah bu Susi. Masalahnya lahan terbesar dari Kebon sawit itu juga milik Prabowo. ,susipudjiastuti prabowo susah susi lahan terbesar kebon sawit milik prabowo
2.000392181165732e+18,@susipudjiastuti @prabowo : Maaf ga bs dihentikan Sharusnya ibu ga hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat apa lg keuntungan ngara hrusnya ibu lihat brp keuntungan yg sy &amp; koalisi sy dptkan. Ini hari tua sy bu jd lbih mmperhatikan jminan hari tua sy smpai ke neraka nanti,susipudjiastuti prabowo maaf dihentikan sharusnya hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat keuntungan ngara hrusnya lihat brp keuntungan amp koalisi dptkan tua lbih mmperhatikan jminan tua smpai neraka
2.000392181165732e+18,@susipudjiastuti @prabowo Kalau ganggu pemasukan perut susah. Pasti dilawan,susipudjiastuti prabowo ganggu pemasukan perut susah dilawan
2.000392181165732e+18,@susipudjiastuti @prabowo Tambang legal pun jadi setan saat masuk dalam sistem setan kira2 gt ya Bu. Dari sebegitu rumitnya perizinan per masing2 institusi tidak lancar klo tanpa cuan. Giliran tanah overlapping mafia tanah hilang sumber air bersih trlalu dkt dgn pemukiman mrk semua lepas tangan.,susipudjiastuti prabowo tambang legal setan masuk sistem setan rumitnya perizinan institusi tidak lancar klo cuan giliran tanah overlapping mafia tanah hilang sumber air bersih trlalu dkt dgn pemukiman mrk lepas tangan
2.000392181165732e+18,@susipudjiastuti @prabowo bukan cuma sumatra pulau lain juga sama rusaknya.,susipudjiastuti prabowo bukan sumatra pulau rusaknya
2.000392181165732e+18,@susipudjiastuti @prabowo Oh tentu tydack mungkin Bu. Sama saja menutup perusahaannya sendiri beliau . Memang ini kan tujuan dia berkuas agar bisnis lancar car caaar bebas hambatan ,susipudjiastuti prabowo tydack menutup perusahaannya beliau tujuan berkuas bisnis lancar car caaar bebas hambatan
2.000392181165732e+18,@susipudjiastuti @prabowo Kasih paham bu.. harusnya ibu sih yg jadi presiden,susipudjiastuti prabowo kasih paham presiden
2.000392181165732e+18,@susipudjiastuti @prabowo Bukan nya anak perusahaan beliau juga terlibat #Ups,susipudjiastuti prabowo bukan anak perusahaan beliau terlibat ups
2.000392181165732e+18,@susipudjiastuti @prabowo Benar Bu..sudah saat ny Indonesia utk waktu yg cukup lama hentikan proyek deforestasi.. Tanam kembali hutan2 yg udh gundul.. Perlu waktu 30 Thun lebih utk pohon yg akar ny bisa mencegah longsor dan menyimpan cadangan air..,susipudjiastuti prabowo indonesia utk hentikan proyek deforestasi tanam hutan udh gundul thun utk pohon akar mencegah longsor menyimpan cadangan air
2.000392181165732e+18,@susipudjiastuti @prabowo Ini sampai Bu Susi loh yang nge-tweet apakah akan terdengar didengar dilaksanakan atau...mmmmmmmmmmmmmmmm,susipudjiastuti prabowo susi nge tweet terdengar didengar dilaksanakan mmmmmmmmmmmmmmmm
2.000392181165732e+18,@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,susipudjiastuti prabowo presiden sulit ditembus sangking bubble lambat nerima informasi amp kritik
