Topic,Count,Name,Representation,Representative_Docs
-1,1271,-1_prabowo_presiden prabowo_bencana_pemerintah,"['prabowo', 'presiden prabowo', 'bencana', 'pemerintah', 'kemenlu', 'menteri', 'banjir', 'indonesia', 'negeri', 'warga terdampak']","['presiden prabowo subianto meninjau korban banjir takengon aceh prabowo simpati komitmen pemerintah mempercepat pemulihan', 'menlu anak ideologis prabowo', 'pemerintah pusat dukungan penuh sesuai arahan presiden prabowo prabowo pulihkan infrastruktur daerah terdampak bangkit pasca bencana']"
0,2498,0_presiden prabowo_rekonstruksi pascabencana_indonesia_pulihkan,"['presiden prabowo', 'rekonstruksi pascabencana', 'indonesia', 'pulihkan', 'pasca bencana', 'warga terdampak', 'ketiga', 'pulihkan infrastruktur', 'bangkit pasca', 'prabowo pulihkan']","['presiden prabowo komitmen kuat prabowo bangun rekonstruksi pascabencana listrik jalan rumah warga dipulihkan', 'presiden prabowo hadir ketiga kalinya prabowo bangun pemerintah mengganti rumah warga mendorong rekonstruksi pascabencana listrik jalan infrastruktur dipulihkan semangat gotong royong', 'presiden prabowo turun lokasi bencana ketiga kalinya negara hadir prabowo bangun rumah warga listrik jalan infrastruktur rekonstruksi pascabencana']"
1,536,1_kerja_kerja kerja_pulang kerja_besok,"['kerja', 'kerja kerja', 'pulang kerja', 'besok', 'gaji', 'kerja keras', 'sampe', 'pagi', 'kek', 'malam']","['kerja apatuhhh', 'kerja rodi', 'ketinggalan jungkook kerja']"
2,78,2_palestina_israel_arab_perdamaian,"['palestina', 'israel', 'arab', 'perdamaian', 'suriah', 'gencatan senjata', 'saudi', 'islam', 'gaza palestina', 'arab saudi']","['dukung pernyataan menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel', 'dukung menlu menlu negara arab islam hnw tolak bentuk pengusiran warga gaza palestina israel']"
3,73,3_pangan_ketahanan pangan_cita presiden_petani,"['pangan', 'ketahanan pangan', 'cita presiden', 'petani', 'bergizi gratis', 'nasional', 'presiden prabowo', 'bhabinkamtibmas polsek', 'prabowo berkomitmen', 'indonesia negara']","['polri dukung program asta cita presiden ketahanan pangan nasional lumajang polmas polsek lumajang kota polres lumajang aktif mengimplementasikan program asta cita presiden peran polisi penggerak ketahanan pangan nasional', 'polri dukung program asta cita presiden ketahanan pangan nasional lumajang polmas polsek lumajang kota polres lumajang aktif mengimplementasikan program asta cita presiden peran polisi penggerak ketahanan pangan nasional', 'polmas polsek lumajang kota polres lumajang aktif mengimplementasikan program asta cita presiden peran polisi penggerak ketahanan pangan nasional giat pengecekan pekarangan pangan bergizi kel ditotrunan']"
4,61,4_rusia_perang_kemenlu rusia_zakharova,"['rusia', 'perang', 'kemenlu rusia', 'zakharova', 'geopolitik', 'vladimir putin', 'vladimir', 'rusia maria', 'diplomatik', 'rusia vladimir']","['menlu ukraina andrii sybiha menuduh presiden rusia vladimir putin membuang dunia sehari pembicaraan tingkat amerika serikat rusia upaya perang ukraina menghasilkan perkembangan', 'zakharova bilang pembicaraan serangan nato rusia bertanggung sesi sputnik maria zakharova jubir kemenlu rusia mengecam keras ketua komite militer nato menilai nato bersikap sinis menuding agresi rusia', 'rusia menlu rusia lavrov rusia mengkaji proposal barat sesuai semangat kesepakatan putin amp trump alaska moskow resmi menerima rencana perdamaian draft']"
5,32,5_meninjau bencana_pakistan rusia_rusia presiden_keselamatan,"['meninjau bencana', 'pakistan rusia', 'rusia presiden', 'keselamatan', 'global', 'pakistan', 'agenda', 'meninjau', 'rusia', 'presiden prabowo']","['aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung aceh meninjau bencana agenda global keselamatan rakyat prioritas kunjungan ketiganya aceh menunda negara hadir']"
6,29,6_program mbg_partai_rapat_anggaran,"['program mbg', 'partai', 'rapat', 'anggaran', 'keputusan presiden', 'proyek', 'lembaga', 'kementerian', 'penguatan dukungan', 'indonesia bidang']","['kemenlu amp kemenkum fokus pemetaan kepentingan negara mengamankan dukungan kementerianhukum kanwilkemenkumdiy layananhukummakinmudah setahunberdampak kanwil kemenkum diy', 'kemenkum amp kemenlu sinergi terbaik global kementerianhukum kanwilkemenkumdiy layananhukummakinmudah setahunberdampak kanwil kemenkum diy', 'setahunberdampak kanwil kemenkum diy kemenkum amp kemenlu bersatu kawal royalti global berkeadilan kementerianhukum kanwilkemenkumdiy layananhukummakinmudah setahunberdampak kanwil kemenkum diy']"
7,24,7_joko widodo_joko_polda metro_presiden joko,"['joko widodo', 'joko', 'polda metro', 'presiden joko', 'gelar', 'ijazah palsu', 'jokowi', 'tudingan ijazah', 'hukum presiden', 'pidana']","['kuasa hukum roy suryo menyoroti aspek gelar perkara khusus terkait dugaan ijazah palsu presiden joko widodo digelar polda metro jaya senin baca roysuryo ijazah jokowi', 'jam gelar perkara khusus dugaan ijazah palsu presiden joko widodo digelar polda metro jaya permintaan roy suryo senin fae', 'polda metro jaya menjadwalkan gelar perkara khusus terkait tudingan ijazah palsu presiden joko widodo senin desember joko widodo menghadiri gelar perkara khusus sesuai undangan polda metro jaya kuasa hukum']"
