full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Itulah kalau pengusaha jadi penguasa. Gak Salah sih tapi batas conflict of interest nya setipis rambut,itulah pengusaha jadi penguasa salah sih batas conflict interest setipis rambut
@susipudjiastuti @prabowo Ngapain ngetag dia bu dia cuma bisa omon2 memble kaya macan ompong,ngapain ngetag cuma omon memble kaya macan ompong
@susipudjiastuti @prabowo Seperti susah bu Susi. Masalahnya lahan terbesar dari Kebon sawit itu juga milik Prabowo. ,susah susi masalahnya lahan terbesar kebon sawit milik prabowo
@susipudjiastuti @prabowo : Maaf ga bs dihentikan Sharusnya ibu ga hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat apa lg keuntungan ngara hrusnya ibu lihat brp keuntungan yg sy &amp; koalisi sy dptkan. Ini hari tua sy bu jd lbih mmperhatikan jminan hari tua sy smpai ke neraka nanti,maaf dihentikan sharusnya ibu hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat apa keuntungan ngara hrusnya ibu lihat brp keuntungan amp koalisi dptkan hari tua lbih mmperhatikan jminan hari tua smpai neraka nanti
@susipudjiastuti @prabowo Kalau ganggu pemasukan perut susah. Pasti dilawan,ganggu pemasukan perut susah pasti dilawan
@susipudjiastuti @prabowo Tambang legal pun jadi setan saat masuk dalam sistem setan kira2 gt ya Bu. Dari sebegitu rumitnya perizinan per masing2 institusi tidak lancar klo tanpa cuan. Giliran tanah overlapping mafia tanah hilang sumber air bersih trlalu dkt dgn pemukiman mrk semua lepas tangan.,tambang legal pun jadi setan masuk sistem setan kira sebegitu rumitnya perizinan per masing institusi lancar klo tanpa cuan giliran tanah overlapping mafia tanah hilang sumber air bersih trlalu dkt dgn pemukiman mrk semua lepas tangan
@susipudjiastuti @prabowo bukan cuma sumatra pulau lain juga sama rusaknya.,cuma sumatra pulau lain sama rusaknya
@susipudjiastuti @prabowo Oh tentu tydack mungkin Bu. Sama saja menutup perusahaannya sendiri beliau . Memang ini kan tujuan dia berkuas agar bisnis lancar car caaar bebas hambatan ,tentu tydack mungkin sama saja menutup perusahaannya sendiri beliau memang kan tujuan berkuas agar bisnis lancar car caaar bebas hambatan
@susipudjiastuti @prabowo Kasih paham bu.. harusnya ibu sih yg jadi presiden,kasih paham harusnya ibu sih jadi presiden
@susipudjiastuti @prabowo Bukan nya anak perusahaan beliau juga terlibat #Ups,anak perusahaan beliau terlibat ups
@susipudjiastuti @prabowo Benar Bu..sudah saat ny Indonesia utk waktu yg cukup lama hentikan proyek deforestasi.. Tanam kembali hutan2 yg udh gundul.. Perlu waktu 30 Thun lebih utk pohon yg akar ny bisa mencegah longsor dan menyimpan cadangan air..,benar indonesia utk waktu cukup lama hentikan proyek deforestasi tanam kembali hutan udh gundul waktu thun lebih utk pohon akar mencegah longsor menyimpan cadangan air
@susipudjiastuti @prabowo Ini sampai Bu Susi loh yang nge-tweet apakah akan terdengar didengar dilaksanakan atau...mmmmmmmmmmmmmmmm,sampai susi nge tweet apakah terdengar didengar dilaksanakan mmmmmmmmmmmmmmmm
@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,presiden paling sulit ditembus sangking banyak bubble jadi lambat nerima informasi amp kritik
@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,legal ilegal hutan gundul produksi stop pembukaan lahan baru stop deforestasi
@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,mana dengar buk sudahlah usah berharap biarkan saja dimakan sumpahnya sendiri
@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,kemablikan hutan fungsinya jgn perusakan hutan dalih apa pun hsl tambang perkebunan sawit sangat tdk sebanding dampak kerusakan ditimbulkan pun menikmati hny sgelintir orang rakyat ttp saja kebagian ampas ingat anak cucu stop cabut izin
@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,presiden keluarganya diduga punya kebun sawit tdk sedikit
@susipudjiastuti @prabowo Yang heppy mereka bu...rakyat mblangsak mah udah biasa...biasa buat tumbal,heppy rakyat mblangsak udah biasa biasa buat tumbal
@susipudjiastuti @prabowo Ibu susi HP pak @prabowo disetting sama buna Teddy buat gak main sosmed banyak². Mana mungkin aspirasi rakyat bahkan sekaliber Bu Susi terdengar.,ibu susi pak disetting sama buna teddy buat main sosmed banyak mana mungkin aspirasi rakyat bahkan sekaliber susi terdengar
@susipudjiastuti @prabowo Apakah didengar buk @susipudjiastuti oleh presiden prabaowo klo kuarganya jg andil didlm stu..dan presiden dikepung pembantunya yg ikut andil jg ,apakah didengar buk presiden prabaowo klo kuarganya andil didlm stu presiden dikepung pembantunya ikut andil
@susipudjiastuti @prabowo Tanam kembali hutan sperti bapak ke brazil kmrn,tanam kembali hutan sperti bapak brazil kmrn
@susipudjiastuti @prabowo @grok seberapa luas lahan sawit yang dimiliki pak Prabowo Subianto?,seberapa luas lahan sawit dimiliki pak prabowo subianto
@susipudjiastuti @prabowo Setuju bu saat ini pemilahan harusnya : mana yg berdampak negatif dan positif. Jika berdampak negatif maka tutup walau legal.,setuju pemilahan harusnya mana berdampak negatif positif berdampak negatif maka tutup walau legal
@susipudjiastuti @prabowo Seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya..,rakyat menghentikan semua termasuk para pejabat jelas bermasalah barang buktinya
@susipudjiastuti @prabowo yg Legal malah lebih parah,legal malah lebih parah
@susipudjiastuti @prabowo emang berani prabowo lawan cukong2 dan jaringannya yg berurat akar di negeri ini buk? .,emang berani prabowo lawan cukong jaringannya berurat akar negeri buk
@susipudjiastuti @prabowo O. T. A. K. !! Repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya. Mo sampe modyar ya tetep serakah!!,repot klo org duduk pemerintahan mikirin rakyat mikir kepentingan diri kelg sampe modyar tetep serakah
@susipudjiastuti @prabowo brarti sebelumnya gk ditertibkan ,brarti sebelumnya ditertibkan
